content,author,source
"Cũng vậy giữa quần sanh,
Uế nhiễm, mù, phàm tục,
Đệ tử bậc Chánh Giác,
Sáng ngời với Tuệ Trí.",Kinh Pháp Cú,Phẩm Bông Hoa - Bài Kệ 59
"Đêm dài cho kẻ thức,
Đường dài cho kẻ mệt,
Luân hồi dài, kẻ ngu,
Không biết chơn diệu pháp.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 60
"Tìm không được bạn đường,
Hơn mình hay bằng mình,
Thà quyết sống một mình,
Không bè bạn kẻ ngu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 61
"Con tôi, tài sản tôi,
Người ngu sanh ưu não,
Tự ta, ta không có,
Con đâu, tài sản đâu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 62
"Người ngu nghĩ mình ngu,
Nhờ vậy thành có trí.
Người ngu tưởng có trí,
Thật xứng gọi chí ngu.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 63
"Người ngu, dầu trọn đời,
Thân cận người có trí,
Không biết được Chánh pháp,
Như muỗng với vị canh.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 64
"Người trí, dầu một khắc,
Thân cận người có trí,
Biết ngay chân diệu pháp,
Như lưỡi với vị canh.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 65
"Người ngu si thiếu trí,
Tự ngã thành kẻ thù.
Làm các nghiệp không thiện,
Phải chịu quả đắng cay.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 66
"Nghiệp làm không chánh thiện,
Làm rồi sanh ăn năn,
Mặt nhuốm lệ, khóc than,
Lãnh chịu quả dị thục.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 67
"Và nghiệp làm chánh thiện,
Làm rồi không ăn năn,
Hoan hỷ, ý đẹp lòng,
Hưởng thọ quả dị thục.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 68
"Người ngu nghĩ là ngọt,
Khi ác chưa chín muồi;
Ác nghiệp chín muồi rồi,
Người ngu chịu khổ đau.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 69
"Tháng tháng với ngọn cỏ,
Người ngu có ăn uống
Không bằng phần mười sáu
Người hiểu pháp hữu vi.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 70
"Nghiệp ác đã được làm,
Như sữa, không đông ngay,
Cháy ngầm theo kẻ ngu,
Như lửa tro che đậy.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 71
"Tự nó chịu bất hạnh,
Khi danh đến kẻ ngu.
Vận may bị tổn hại,
Đầu nó bị nát tan.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 72
"Ưa danh không tương xứng,
Muốn ngồi trước tỷ kheo,
Ưa quyền tại tịnh xá,
Muốn mọi người lễ kính.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 73
"Mong cả hai tăng, tục,
Nghĩ rằng (chính ta làm).
Trong mọi việc lớn nhỏ,
Phải theo mệnh lệnh ta
Người ngu nghĩ như vậy
Dục và mạn tăng trưởng.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 74
"Khác thay duyên thế lợi,
Khác thay đường Niết Bàn.
Tỷ kheo, đệ tử Phật,
Hãy như vậy thắng tri.
Chớ ưa thích cung kính,
Hãy tu hạnh viễn ly.",Kinh Pháp Cú,Phẩm Kẻ Ngu - Bài Kệ 75
"Nếu thấy bậc hiền trí,
Chỉ lỗi và khiển trách,
Như chỉ chỗ chôn vàng
Hãy thân cận người trí!
Thân cận người như vậy,
Chỉ tốt hơn, không xấu.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 76
"Những người hay khuyên dạy,
Ngăn người khác làm ác,
Được người hiền kính yêu,
Bị người ác không thích.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 77
"Chớ thân với bạn ác,
Chớ thân kẻ tiểu nhân.
Hãy thân người bạn lành,
Hãy thân bậc thượng nhân.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 78
"Pháp hỷ đem an lạc,
Với tâm tư thuần tịnh;
Người trí thường hoan hỷ,
Với pháp bậc Thánh thuyết.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 79
"Người trị thủy dẫn nước,
Kẻ làm tên nắn tên,
Người thợ mộc uốn gỗ,
Bậc trí nhiếp tự thân.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 80
"Như đá tảng kiên cố,
Không gió nào giao động,
Cũng vậy, giữa khen chê,
Người trí không giao động.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 81
"Như hồ nước sâu thẳm,
Trong sáng, không khuấy đục,
Cũng vậy, nghe chánh pháp,
Người trí hưởng tịnh lạc.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 82
"Người hiền bỏ tất cả,
Người lành không bàn dục,
Dầu cảm thọ lạc khổ,
Bậc trí không vui buồn.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 83
"Không vì mình, vì người.
Không cầu được con cái,
Không tài sản quốc độ,
Không cầu mình thành tựu,
Với việc làm phi pháp.
Vị ấy thật trì giới,
Có trí tuệ, đúng pháp.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 84
"Ít người giữa nhân loại,
Đến được bờ bên kia
Còn số người còn lại,
Xuôi ngược chạy bờ này.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 85
"Những ai hành trì pháp,
Theo chánh pháp khéo dạy,
Sẽ đến bờ bên kia,
Vượt ma lực khó thoát.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 86
"Kẻ trí bỏ pháp đen,
Tu tập theo pháp trắng.
Bỏ nhà, sống không nhà,
Sống viễn ly khổ lạc.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 87
"Hãy cầu vui Niết Bàn,
Bỏ dục, không sở hữu,
Kẻ trí tự rửa sạch,
Cấu uế từ nội tâm.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 88
"Những ai với chánh tâm,
Khéo tu tập giác chi,
Từ bỏ mọi ái nhiễm,
Hoan hỷ không chấp thủ.
Không lậu hoặc, sáng chói,
Sống tịch tịnh ở đời.",Kinh Pháp Cú,Phẩm Người Trí - Bài Kệ 89
"Đích đã đến, không sầu,
Giải thoát ngoài tất cả,
Đoạn trừ mọi buộc ràng,
Vị ấy không nhiệt não.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 90
"Tự sách tấn, chánh niệm,
Không thích cư xá nào,
Như ngỗng trời rời ao,
Bỏ sau mọi trú ẩn.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 91
"Tài sản không chất chứa,
Ăn uống biết liễu tri,
Tự tại trong hành xứ,
""Không vô tướng, giải thoát,""
Như chim giữa hư không,
Hướng chúng đi khó tìm.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 92
"Ai lậu hoặc đoạn sạch,
Ăn uống không tham đắm,
Tự tại trong hành xứ,
""Không, vô tướng giải thoát.""
Như chim giữa hư không,
Dấu chân thật khó tìm.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 93
"Ai nhiếp phục các căn,
Như đánh xe điều ngự,
Mạn trừ, lậu hoặc dứt,
Người vậy, Chư Thiên mến.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 94
"Như đất, không hiềm hận,
Như cột trụ, kiên trì,
Như hồ, không bùn nhơ,
Không luân hồi, vị ấy.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 95
"Người tâm ý an tịnh,
Lời an, nghiệp cũng an,
Chánh trí, chơn giải thoát,
Tịnh lạc là vị ấy.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 96
"Không tin, hiểu vô vi.
Người cắt mọi hệ lụy
Cơ hội tận, xả ly
Vị ấy thật tối thượng.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 97
"Làng mạc hay rừng núi
Thung lũng hay đồi cao,
La Hán trú chỗ nào,
Đất ấy thật khả ái.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 98
"Khả ái thay núi rừng,
Chỗ người phàm không ưa,
Vị ly tham ưa thích,
Vì không tìm dục lạc.",Kinh Pháp Cú,Phẩm A-la-hán - Bài Kệ 99
"Dầu nói ngàn ngàn lời,
Nhưng không gì lợi ích,
Tốt hơn một câu nghĩa,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 100
